"Time","10.244.1.173:32000","10.244.20.254:32000","10.244.21.15:32000","10.244.22.190:32000","10.244.23.28:32000","10.244.24.156:32000","10.244.25.199:32000","10.244.26.148:32000","10.244.28.200:32000","10.244.29.56:32000","10.244.30.88:32000","10.244.31.26:32000","10.244.32.247:32000","10.244.33.120:32000","10.244.34.173:32000","10.244.36.32:32000","10.244.37.129:32000","10.244.38.32:32000","10.244.39.131:32000"
1748378880000,3.4750000000349246,8.868172733328777,6.137454981340625,3.5749999969266355,4.125000003259629,5.000000002328292,5.203812717772465,3.5499999998137355,6.6436725249355675,3.600000001024455,5.424999997485429,5.822115488508132,2.749999999068663,2.5292774312105735,6.047202798132716,3.7346280795999576,4.424999998882413,3.7944222305475392,4.999999993015081
1748378885000,3.1000000002677552,11.307302924149226,6.94360256251484,3.8750000041909374,4.349999995902181,6.2250000005587935,6.472428456142751,6.699999994598329,5.731082437164929,3.9404280858035463,6.800000004004687,5.481141114647954,3.625000000465647,5.500000002793982,6.128178175195714,4.803542869992796,4.075000004377216,3.730752303248451,3.750000006984905
1748378890000,4.149999999790438,10.324999997392297,3.955832330232184,3.7500000023283064,3.875000001862645,4.925000001676366,5.124999997206032,3.7750000040978193,5.674999998882413,3.6846730647352786,6.0749999969266355,4.846362818154759,4.500000001862631,3.815363070938375,5.650000001769513,3.166579898295936,4.749999998603016,3.2846230720321614,3.4249999979510903
1748378895000,3.1249999997089617,10.074999993667006,6.999999999534339,3.9249999937601388,3.799999998882413,5.149999994318932,5.116931297394103,2.700000002514571,5.350000001490102,3.2250000024214245,4.875000000465661,7.3780031967796305,3.850000000093118,4.180592238477658,6.199999998789281,5.8250000001862645,3.724999998230487,4.2309623854193745,4.899999999906868
1748378900000,4.4500000003608875,9.275000002235174,7.768622552376485,4.275000004563481,4.324999998789281,3.6499999999068677,5.096512907279703,7.424999994691461,4.299999999348074,3.040153027625678,5.749999999534339,5.334448107770413,4.399999997112886,4.699999999720603,5.249999999068677,4.72499999916181,4.150000000372529,5.509468106844594,3.449999997392297
1748378905000,4.1250000000581935,10.097297479101258,7.493722506898223,3.5249999980442226,4.474999997764812,4.025000003166497,3.3055022080522463,3.525000005029142,6.2749999994412065,5.234353131329414,4.900000004563481,5.643922433355598,3.124999999999986,5.244112354685569,7.124999999068677,4.9035428770680625,3.8000000012107193,3.015268055846377,6.175000001676381
1748378910000,3.9500000001862645,10.87201641998125,5.156292517751666,4.500000004190952,4.125000003259629,4.499999997206032,6.2311424499963834,4.599999999627471,5.975000001490116,3.2250000000931323,5.499999998137355,5.243182141029763,4.350000007543699,5.248051948238768,5.6000000028871,4.77143786020126,3.9500000001862645,5.5688724433844925,3.8749999972060323
1748378915000,45.55000000022119,15.95941376699625,19.4820028029838,53.89999999199062,32.42500000167638,52.32499999925494,44.0750000020489,71.17499999469146,66.72500000102445,40.77499999897554,62.024999998975545,45.44999999925494,57.89999999571591,68.65675699644123,42.199999999720596,58.049999999348074,33.875000001862645,53.020548219194396,43.54999999981373
1748378920000,97.7013791723918,74.3999999971129,72.68425777853865,99.62529976158771,94.87704918312072,100,95.03691141205228,100,100,97.4750000005588,100,99.77513491709396,100,100,99.12500000093132,99.97499999823049,99.45000000065193,100,95.14538936884182
1748378925000,100,99.95001999079297,99.82457899116204,100,100,100,100,100,100,100,100,100,100,100,100,99.9500349521853,100,100,100
