"Time","10.244.1.173:32000","10.244.20.254:32000","10.244.21.15:32000","10.244.22.190:32000","10.244.23.28:32000","10.244.24.156:32000","10.244.25.199:32000","10.244.26.148:32000","10.244.28.200:32000","10.244.29.56:32000","10.244.30.88:32000","10.244.31.26:32000","10.244.32.247:32000","10.244.33.120:32000","10.244.34.173:32000","10.244.36.32:32000","10.244.37.129:32000","10.244.38.32:32000","10.244.39.131:32000"
1748292530000,2.5000000002910383,9.325000003445894,8.67500000167638,3.3306522628602835,3.165263053821832,4.850000003352761,5.1249999995343245,5.674999998882399,4.40946310449128,2.7999999956227697,7.349999996367842,6.324999998323605,3.849999997764826,4.786969577243767,4.6439924021074575,4.225000003352747,3.5693222685779915,4.124999998603002,4.224999996367842
1748292535000,4.82499999954598,9.649999998509884,9.949999998789266,3.75,3.475000001490116,3.9249999984167516,4.919072370959455,4.175000002142042,5.674999998882413,5.025000001769513,5.300000000279397,5.300000000279397,2.9249999998137213,3.5903980794763584,4.355942374621733,5.175000000745058,3.280612240985576,3.8249999983236194,4.175000004470348
1748292540000,4.344302279332709,9.949999998789266,9.149999998044223,4.049999997951076,3.559713057201634,4.125000003259629,7.110340635653927,3.599999998696134,4.8999999999068535,3.4499999973922826,3.9500000001862645,4.7999999998137355,3.3847630464593266,4.825135353031598,5.56563811176737,4.544022390019393,4.163309355775596,3.999999996740371,3.9978021956616345
1748292545000,2.7804121649998734,9.55000000307335,7.12500000139697,3.475000001490116,3.9750000019557774,4.225000001024455,4.371182709065295,5.374999998603002,5.449999999254942,3.300000000745044,8.324999997857958,6.375000004190952,5.09059812204498,4.299999997019768,6.703337658644799,4.180792316180586,2.661128898650432,4.100000001490116,4.527202204717696
1748292550000,3.999999999941778,14.950000001117587,10.59999999590218,3.3500000019557774,3.4489736913580202,3.8249999983236194,6.8250000057742,3.175000001210705,4.765508101993561,5.450000001583234,5.100000002421439,5.199999997857958,3.159668063499552,4.090423086107322,5.583876625320855,3.425000002607703,4.3250000034458935,4.280587711510961,3.3691123523581865
1748292555000,2.7249999999185093,9.849999996367842,8.125000002328292,3.0500000016763806,3.9263046984033707,4.524999998975545,5.724999997764826,5.475000001024441,4.150000000372529,3.999999996740371,5.168842461989968,5.22499999729915,3.5153930836453497,3.9366893511074608,5.40514867319979,3.7385091937625674,3.9999999990686774,3.1430096207052145,4.15564225904518
1748292560000,30.749999999825377,21.116458540714873,9.524999998975531,9.34999999590218,32.700000000186265,49.124999998603016,27.700000000186265,32.71484406256093,20.87500000372529,41.8750000023283,14.906202480339502,19.850000001024455,11.899999999441206,39.5963731847772,38.98589146356047,32.236924766181446,20.550000001676366,5.899999996181577,14.849999998696134
1748292565000,98.35559099055064,90.84366867761338,65.6000000005588,90.53584608807574,89.81889133405537,99.9500349521853,97.40000000223517,98.72461956068572,95.87642686230177,99.7750699723831,94.50000000186265,91.475044918772,92.0171168471529,83.11552419073715,96.80319680021955,98.59978991466257,91.2749999947846,79.00674086182256,88.97552280618584
1748292570000,100,99.79999999050051,100,100,100,100,100,100,100,100,100,99.89990983528425,99.94989473473323,100,100,99.9750000005588,100,100,100
1748292575000,100,100,100,100,100,100,100,100,100,100,99.9750000005588,100,99.95002996516007,100,100,99.97498499155373,100,100,100
1748292580000,99.94999999195343,100,100,100,100,100,100,100,100,100,99.97501998457113,100,100,100,100,100,100,100,100
1748292585000,100,100,100,100,100,100,100,100,100,100,100,99.94999496010547,100,100,100,100,100,100,100
1748292590000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.95004493621902,100,100,100,100
1748292595000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748292600000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748292605000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748292610000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748292615000,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9749949995587,100,100,99.94993992100356,100,100
1748292620000,100,100,100,100,100,100,100,100,100,100,100,100,100,99.97504491970332,100,100,100,100,100
1748292625000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748292630000,100,100,100,99.95052102495643,100,100,100,100,100,100,100,99.94996981615556,100,100,100,100,100,100,100
1748292635000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748292640000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748292645000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748292650000,100,99.95000497612486,100,100,100,100,100,100,99.95005490031616,100,100,100,100,100,100,100,100,100,100
1748292655000,100,97.19779823831036,96.2163392146702,100,100,92.34088176221704,62.44999999646097,38.900000001303844,99.94989980071902,100,99.60023985571404,100,100,80.35071042746719,87.47254941217567,100,99.95000000111759,81.0489958528067,88.04267506010116
1748292660000,52.50000000014551,26.12500000046566,19.575000000186265,35.120589991607105,69.17499999748543,12.549999998882413,8.351773902309773,4.150000000372515,41.2597960745832,40.69999999832361,45.388224533798116,92.87500000093132,57.6647584901011,5.781905331976446,29.663322104225102,51.09999999869614,84.65000000083819,9.521632982863466,15.749999997206032
1748292665000,4.547752247577748,16.850129843536394,6.150000002235174,4.193455338134626,12.574999998323605,6.875,6.200000001117573,4.249999998137341,5.2221778182677525,5.249999999068663,6.606552624309501,32.17500000493601,4.157953730896807,4.816743437273161,8.587335447066778,6.675000002142042,20.387607693104542,3.94954119122184,4.825000001583248
1748292670000,4.85591236541174,14.0986383664129,6.799999999348074,4.834294541727189,4.500000001862631,5.350000001490102,6.349999997764826,6.250000002328292,8.183369939332152,6.250000004656599,9.0374376859139,7.425000004004673,5.023156458439132,5.171602959633731,5.3336499745495445,3.6790375773605604,4.925000001676366,4.300005014246551,5.750000004190952
1748292675000,2.9772763579090906,15.200000002514571,8.570654343699218,4.000201802953669,4.490413082150894,5.899999996181577,5.850000001955763,4.074999997392283,5.596096410427165,3.2249999977648116,4.987450041086063,7.474999995902181,4.3366934340341174,5.39363422865631,7.946124575523328,4.671798078566454,4.267106048458402,4.824999999254942,5.374999998603016
1748292680000,4.490418083442108,14.999999997671694,8.029254255371185,4.420570618464268,4.009633077109925,5.675000003539026,6.4123301330985925,5.925000002607689,4.456022411385291,5.050000001210705,7.440507726360863,5.700000000651912,4.702863082438881,5.819660284156839,6.428262007742262,5.513129499753916,5.359408122193969,4.738149480134112,3.9999999990686774
1748292685000,4.905360721442818,16.350000000093118,7.925000002142042,5.459298964563473,5.8250000001862645,8.525000002700835,6.06554811120499,6.224999998230473,7.331482594061896,6.124999998137355,6.636213087097715,7.074999997857958,3.20957985265143,5.041511881597955,6.086457236807519,8.252013784835299,4.399999997112886,5.586949561976468,5.824999997857944
1748292690000,4.450000000069849,23.149999999441206,6.800000001676381,10.710888412792357,5.4499999969266355,5.89999999850987,11.92463477919297,5.1249999995343245,6.171903097367078,9.118272692413072,6.46282973695736,7.175000002607703,5.571041975361126,4.794718382679321,7.101443321189336,8.084423191910801,8.904562110681809,4.9750000005587935,5.1249999995343245
