"Time","10.244.1.173:32000","10.244.20.254:32000","10.244.21.15:32000","10.244.22.190:32000","10.244.23.28:32000","10.244.24.156:32000","10.244.25.199:32000","10.244.26.148:32000","10.244.28.200:32000","10.244.29.56:32000","10.244.30.88:32000","10.244.31.26:32000","10.244.32.247:32000","10.244.33.120:32000","10.244.34.173:32000","10.244.36.32:32000","10.244.37.129:32000","10.244.38.32:32000","10.244.39.131:32000"
1748374840000,3.249999999825377,3.130103669280075,8.886347751988922,4.375000002328306,11.014371497011865,4.850000001024441,5,6.187329864451172,4.3193522631004555,4.989650849038213,4.886949561324542,4.309603078732181,4.475000002421439,3.6729567307674387,6.754976067944469,4.874999998137355,3.6499999999068677,3.6040525653853877,4.6904430883381565
1748374845000,5.050000000046566,4.559402564105838,7.4588399717638225,3.8538726747174366,10.967772888236212,4.080742291422098,5.9749999991617955,4.024999998509884,5.0462427439707795,4.096095330441855,7.661670663004685,6.402943233594797,4.59999999729915,5.4249999998137355,4.845820804565065,5.172977024839568,3.3500000019557774,3.471362818621813,4.019332532506311
1748374850000,9.82499999954598,12.60741922672372,6.0558599784911,3.950000002514571,11.589611687953223,4.244512198475192,4.979545001457325,5.249999999068677,27.747381568357483,3.5575655922966973,11.79293434859646,8.79823718135296,4.9750000005587935,4.999999997671694,7.274217034224037,4.00172672700603,4.299999999348074,3.5790525682724876,4.349999998230487
1748374855000,92.05000000045402,79.47128925794473,15.61624649338195,40.80000000074505,44.433670269128086,54.23334333780115,46.40700559324894,47.82499999739229,97.3999198982319,53.76789715364665,66.27618596482773,78.67499999469146,57.37937737171449,83.65000000456348,74.14943304571862,46.77499999757856,85.44999999925494,45.58443566428516,75.91809656730602
1748374860000,100,99.95040338098381,92.07911670914845,99.89999999757856,97.4045817504298,98.92500000074506,99.67606149492599,99.90021937623877,99.9499949881139,99.9750000005588,99.90009990000686,99.97512932573666,99.62501499007374,99.95010975169893,99.95052765134746,99.65104686025742,99.95003993721893,100,100
1748374865000,100,100,99.9251346074459,100,99.97520333322633,100,100,100,100,99.97494990035952,99.97499999823049,100,99.97502497558321,100,100,99.94983948514174,100,100,100
1748374870000,100,100,99.94995993468761,100,99.89963637244335,100,100,100,100,99.95009479659687,99.97500999423279,100,100,100,100,99.94986965990503,100,100,100
1748374875000,100,100,99.9750000005588,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748374880000,100,100,100,100,100,100,100,100,99.89987982193493,100,100,100,100,100,99.9500449156097,100,100,100,100
1748374885000,100,100,100,100,100,100,99.95008973728551,100,100,100,100,100,100,100,100,100,100,100,100
1748374890000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748374895000,100,100,100,100,99.97498999422818,100,100,100,99.94993990630526,100,100,100,100,100,100,100,100,100,100
1748374900000,100,100,100,100,99.4006289307863,97.5249999971129,100,100,94.72898521922906,99.97504491970332,100,100,100,79.60577537467016,100,100,100,100,100
